# To display the perf.data header info, please use --header/--header-only options.
#
# comm: nerd
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cpu/cycles/Pu'
# Event count (approx.): 235456187
#
# Overhead  Shared Object         Symbol                                    
# ........  ....................  ..........................................
#
     0.00%  libc.so.6             [.] 0x0000000000075813
     0.00%  libc.so.6             [.] 0x0000000000075824
     0.00%  libc.so.6             [.] 0x000000000007582d
     0.00%  libc.so.6             [.] 0x0000000000075a3f
     0.00%  libc.so.6             [.] 0x0000000000075eb3
     0.00%  libc.so.6             [.] 0x0000000000075ebc
     0.00%  libc.so.6             [.] 0x0000000000075fe4
     0.00%  libc.so.6             [.] 0x0000000000076004
     0.00%  libc.so.6             [.] 0x000000000007601a
     0.00%  libc.so.6             [.] 0x0000000000076583
     0.00%  libc.so.6             [.] 0x0000000000076810
     0.00%  libc.so.6             [.] 0x0000000000076843
     0.00%  libc.so.6             [.] 0x0000000000076870
     0.00%  libc.so.6             [.] 0x0000000000076902
     0.00%  libc.so.6             [.] 0x0000000000076c85
     0.00%  libc.so.6             [.] 0x0000000000076ca3
     0.00%  libc.so.6             [.] 0x00000000000a97bc
     0.00%  libc.so.6             [.] 0x00000000000accae
     0.00%  libc.so.6             [.] 0x00000000000afd2a
     0.00%  libc.so.6             [.] 0x00000000000bbf92
     0.00%  libc.so.6             [.] 0x00000000000bbfec
     0.00%  libc.so.6             [.] 0x00000000000bc0a0
     0.00%  libc.so.6             [.] 0x00000000000bc17f
     0.00%  libc.so.6             [.] 0x00000000000bc185
     0.00%  libc.so.6             [.] 0x00000000001b15f4
     0.00%  libc.so.6             [.] 0x00000000001b1fc0
     0.00%  libc.so.6             [.] 0x00000000001b3d2c
     0.00%  libc.so.6             [.] 0x00000000001b7fd3
     0.00%  libc.so.6             [.] 0x00000000001b8028
     0.00%  libc.so.6             [.] 0x00000000001b8887
     0.00%  nerd                  [.] llvm_append_function_name
     0.00%  nerd                  [.] mem_check
     0.00%  nerd                  [.] mem_stats_record_array_growth
     0.00%  nerd                  [.] strlen@plt
     0.00%  [unknown]             [k] 0xffffffffb84000bc
     0.00%  [unknown]             [k] 0xffffffffb84000bd
     0.00%  [unknown]             [k] 0xffffffffb84000c2
